beam_y_cm,run,slice,frame,gantry_x_mm,gantry_z_mm,max_counts,exposure_us,rate_c_per_us,ratio_to_slice_best,n_sat_px,excluded_run
104.0,auto_scan-2026-08-06_10-16-44,y0104.00cm,aug6_axicon3_010-tableyp001040.000mm-gantryxp000070.000mm-yp000090.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,166,288.0,0.5763,1.0,0,False
105.0,auto_scan-2026-08-06_10-16-44,y0105.00cm,aug6_axicon3_010-tableyp001050.000mm-gantryxp000070.000mm-yp000080.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,174,288.0,0.6041,1.0,0,False
106.0,auto_scan-2026-08-06_10-16-44,y0106.00cm,aug6_axicon3_010-tableyp001060.000mm-gantryxp000070.000mm-yp000070.000mm-zm000055.100mm-shot0000.npy,70.0,-55.099999999999994,148,224.6,0.6589,0.993,0,False
106.0,auto_scan-2026-08-06_10-16-44,y0106.00cm,aug6_axicon3_010-tableyp001060.000mm-gantryxp000070.000mm-yp000070.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,149,224.6,0.6633,1.0,0,False
106.0,auto_scan-2026-08-06_10-16-44,y0106.00cm,aug6_axicon3_010-tableyp001060.000mm-gantryxp000075.000mm-yp000070.000mm-zm000055.100mm-shot0000.npy,75.0,-55.099999999999994,141,224.6,0.6277,0.946,0,False
106.0,auto_scan-2026-08-06_10-16-44,y0106.00cm,aug6_axicon3_010-tableyp001060.000mm-gantryxp000075.000mm-yp000070.000mm-zm000059.100mm-shot0000.npy,75.0,-59.099999999999994,143,224.6,0.6366,0.96,0,False
107.0,auto_scan-2026-08-06_10-16-44,y0107.00cm,aug6_axicon3_010-tableyp001070.000mm-gantryxp000070.000mm-yp000060.000mm-zm000055.100mm-shot0000.npy,70.0,-55.099999999999994,159,224.6,0.7078,0.97,0,False
107.0,auto_scan-2026-08-06_10-16-44,y0107.00cm,aug6_axicon3_010-tableyp001070.000mm-gantryxp000070.000mm-yp000060.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,153,224.6,0.6811,0.933,0,False
107.0,auto_scan-2026-08-06_10-16-44,y0107.00cm,aug6_axicon3_010-tableyp001070.000mm-gantryxp000075.000mm-yp000060.000mm-zm000055.100mm-shot0000.npy,75.0,-55.099999999999994,160,224.6,0.7123,0.976,0,False
107.0,auto_scan-2026-08-06_10-16-44,y0107.00cm,aug6_axicon3_010-tableyp001070.000mm-gantryxp000075.000mm-yp000060.000mm-zm000059.100mm-shot0000.npy,75.0,-59.099999999999994,164,224.6,0.7301,1.0,0,False
108.0,auto_scan-2026-08-06_10-16-44,y0108.00cm,aug6_axicon3_010-tableyp001080.000mm-gantryxp000070.000mm-yp000050.000mm-zm000055.100mm-shot0000.npy,70.0,-55.099999999999994,169,224.6,0.7524,0.988,0,False
108.0,auto_scan-2026-08-06_10-16-44,y0108.00cm,aug6_axicon3_010-tableyp001080.000mm-gantryxp000070.000mm-yp000050.000mm-zm000059.100mm-shot0000.npy,70.0,-59.099999999999994,167,224.6,0.7435,0.977,0,False
108.0,auto_scan-2026-08-06_10-16-44,y0108.00cm,aug6_axicon3_010-tableyp001080.000mm-gantryxp000075.000mm-yp000050.000mm-zm000055.100mm-shot0000.npy,75.0,-55.099999999999994,169,224.6,0.7524,0.988,0,False
108.0,auto_scan-2026-08-06_10-16-44,y0108.00cm,aug6_axicon3_010-tableyp001080.000mm-gantryxp000075.000mm-yp000050.000mm-zm000059.100mm-shot0000.npy,75.0,-59.099999999999994,171,224.6,0.7613,1.0,0,False
