run,slice,exposure_us,n_dark_total,n_dark_used,dark_mean,dark_median,dark_std,dark_max
auto_scan-2026-07-29_13-17-16,y0108.50cm,788.0208333333333,10,2,0.15954811871051788,0.0,0.448079913854599,14.0
auto_scan-2026-07-29_13-17-16,y0109.00cm,788.0208333333333,10,2,0.15684254467487335,0.0,0.44197604060173035,15.0
auto_scan-2026-07-29_13-17-16,y0109.50cm,788.0208333333333,10,2,0.15526945888996124,0.0,0.43508511781692505,15.0
auto_scan-2026-07-29_13-17-16,y0110.00cm,788.0208333333333,10,2,0.15286366641521454,0.0,0.427828848361969,15.0
auto_scan-2026-07-29_13-17-16,y0110.50cm,788.0208333333333,10,2,0.15220610797405243,0.0,0.4271209239959717,15.0
auto_scan-2026-07-29_13-17-16,y0111.00cm,677.4292732007574,10,2,0.11330684274435043,0.0,0.36157968640327454,15.0
auto_scan-2026-07-29_13-17-16,y0111.50cm,677.4292732007574,10,2,0.1126306876540184,0.0,0.35975489020347595,14.0
auto_scan-2026-07-29_13-17-16,y0112.00cm,677.4292732007574,10,2,0.11235570907592773,0.0,0.3566901385784149,15.0
auto_scan-2026-07-29_13-36-52,y0110.00cm,500.0,12,2,0.0008192062377929688,0.0,0.030083198100328445,14.0
auto_scan-2026-07-29_13-36-52,y0110.50cm,500.0,12,2,0.0015199979534372687,0.0,0.03999219089746475,13.0
auto_scan-2026-07-29_13-36-52,y0111.00cm,500.0,12,2,0.003534476039931178,0.0,0.06006491184234619,14.0
auto_scan-2026-07-29_13-36-52,y0111.50cm,500.0,12,2,3.7988025724189356e-05,0.0,0.010954545810818672,14.0
auto_scan-2026-07-29_13-36-52,y0112.00cm,500.0,12,2,3.8305919588310644e-05,0.0,0.011325513012707233,15.0
auto_scan-2026-07-29_13-36-52,y0112.50cm,500.0,12,2,0.003969669342041016,0.0,0.0635988786816597,14.0
auto_scan-2026-07-29_13-36-52,y0113.00cm,500.0,12,2,3.7670135498046875e-05,0.0,0.011184291914105415,14.0
auto_scan-2026-07-29_13-36-52,y0113.50cm,500.0,12,2,3.6080677091376856e-05,0.0,0.010705048218369484,13.0
auto_scan-2026-07-29_13-36-52,y0114.00cm,500.0,12,2,0.004560947418212891,0.0,0.06797473877668381,13.0
auto_scan-2026-07-29_13-36-52,y0114.50cm,500.0,12,2,0.004465579986572266,0.0,0.06732355803251266,14.0
auto_scan-2026-07-29_13-36-52,y0115.00cm,500.0,12,2,3.592173379729502e-05,0.0,0.011120161041617393,14.0
auto_scan-2026-07-29_13-36-52,y0115.50cm,500.0,12,2,0.0060380301438272,0.0,0.07798897475004196,13.0
auto_scan-2026-07-29_13-36-52,y0116.00cm,500.0,12,2,0.007112979888916016,0.0,0.08452823758125305,13.0
auto_scan-2026-07-29_13-36-52,y0116.50cm,500.0,13,2,0.09520705789327621,0.0,0.38361188769340515,14.0
auto_scan-2026-07-29_13-36-52,y0117.00cm,500.0,10,2,0.08877976983785629,0.0,0.35467901825904846,15.0
auto_scan-2026-07-29_13-36-52,y0117.50cm,500.0,10,2,0.08713293075561523,0.0,0.3415711224079132,16.0
auto_scan-2026-07-29_13-36-52,y0118.00cm,500.0,10,2,0.08300399780273438,0.0,0.3221299946308136,16.0
auto_scan-2026-07-29_13-36-52,y0118.50cm,500.0,10,2,0.08053763955831528,0.0,0.31251537799835205,16.0
auto_scan-2026-07-29_13-36-52,y0119.00cm,500.0,10,2,0.07747777551412582,0.0,0.30129167437553406,15.0
auto_scan-2026-07-29_13-36-52,y0119.50cm,500.0,10,2,0.07490459829568863,0.0,0.2912812829017639,15.0
